Название;Сайт;Почта;Номер телефона;Адрес
ООО «Гелиос»;;1211gelios@gmail.com;8(812)713-34-59;191002, г. Санкт-Петербург, ул. Разъезжая, д. 5, офис 222
"ООО ""ИК Акведук""";;ikakveduk@yandex.ru;79218782785;Российская Федерация, 199178 , Санкт-Петербург, пр. Малый В.О. 27, лит.А, пом.9Н.
"ООО ""НАЯДА""";;nayada_vsi@mail.ru; 7 812 645-36-34;"г. Санкт-Петербург, пр. Стачек 47, БЦ ""Шереметев"""
"Общество с ограниченной ответственностью ""Геодезия и Проектирование""";;sirgip@ya.ru;79211884376;198411 г. Санкт-Петербург, г. Ломоносов, ул. Мира, д. 1
"ООО ""Техническая инвентаризация и кадастр""";;tik.spb47@gmail.com;670 98 80;188662, Ленинградская область, Всеволожский район, пос. Мурино, площадь Привокзальная, д.1а, корп. 1, пом. 42
"ООО ""СЗЭС""";;info@nwenergos.com;740-75-66;191036, Санкт-Петербург, Невский проспект, д.130, литер А, пом.11
"ООО ""ГеоПроект""";;Geotosno@yandex.ru;8(813) 61- 27-363;187000,Ленинградская область, г.Тосно, пр.Ленина д.60
"ООО ""СПС-ПРО""";;golubeva_tv@is.15.ru;(812) 324-40-11;пр.Стачек 47
"ООО ""Балтийский меридиан""";http://georabota.spb.ru/;bmeridian@mail.ru; 7 (812) 492-92-65;Санкт-Петербург, ул. Торжковская, д.3, оф.213
"ООО ""ОРИЕНТИР""";http://www.orientir-spb.ru;orient_spb@bk.ru;88129910070;198510, г. Санкт-Петербург, Петергоф, переулок Суворовцев, д. 3
"ООО ""Эдвайс ЛэнД""";http://www.advice-lend.ru;advice_lend@mail.ru;(812) 310-61-52;190068, Санкт-Петербург, улица Большая Подъяческая,  дом 39
"ООО ""Сажень""";;kadastr@sazhen.org;89119253718;г. Санкт-Петербург, г. Петергоф, ул. Степана Разина, д. 31 лит. а
"ОАО ""Региональное управление геодезии и кадастра""";http://www.oaorugk.ru;info@oaorugk.ru;(812) 383-7777;195112, г.Санкт-Петербург, Малоохтинский пр., д. 68, лит. А
"ООО ""Гатчинское районное предприятие по землеустройству и проектированию""";http://www.ki-gtn.ru;info@grpzp.ru;8 (81371) 76-835 / 8 (81371) 90-277;188305, Ленинградская область, г. Гатчина, ул. Соборная, д. 27/13, оф. 5
"ООО ""ВЕКТОР ГЕОДЕЗИИ""";http://www.tosno-geo.ru/;vector_geo@mail.ru   www.tosno-geo.ru;9223586;Тосно,Советская 9В,оф 30
"ООО ""ЭЙР ЭКСПРЕСС""";;Sokolov_sv@mail.ru;79119468682;
"ООО ""Линк Девелопмент""";;artem.barmenkov@linkdvlpmnt.ru;89213858644;197101, г. Санкт-Петербург, ул. Большая Монетная, д. 25, лит. А, пом.1Н
"ООО ""Поиск-П""";http://www.poisk-spb.ru/;poiskp@mail.ru;тел/факс (812) 318-48-51,  716-88-92;Санкт-Петербург, Кирочная ул., д.31 
ООО «ЦЗК Поволжье»;;czk_povolgje@rambler.ru;8(8412)20-95-17;440000, Российская Федерация, Пензенская обл., г. Пенза, ул. Володарского, 29, оф. № 6
ООО «ВолГеоКом»;;volgeocom@mail.ru;(8172) 21-68-84;160004, г. Вологда, ул. Маяковского, д. 45
ООО «НАИС ППК ПЛЮС»;;naisppk @ yandex.ru;(8-8112)  66-40-49,  66-56-00;г. Псков   ул. Гоголя   дом 27/39
"ООО ""Зодчий""";;zodchiy_gtn@mail.ru ;8-81371-98047;188300 Ленинградская обл., г. Гатчина, ул. К.Маркса, д. 36а, пом. 24
ООО «Первое кадастровое бюро»;;1kadastr@pogreshnosti.net;(812) 332-29-08;197101, г. Санкт-Петербург, ул. Кропоткина, дом 1, лит. А, офис 206
"OOO ""КАиС""";;krav4enko2@mail.ru;(812) 7130284;190068, г.Санкт-Петербург, Вознесенский пр., д.45 лит.А, помещение  26 Н
ООО «ГеоАбрис»;;geoabris@yandex.ru;(812) 677-55-38;199106, г. Санкт-Петербург, В.О., 26-я линия В.О., д.15, корпус 2, литера А.
"ООО ""Фирма ""Геопрофиль""";;nidys@yandex.ru;911-716-34-71;188230 Ленинградская область, г.Луга, ул.Железнодорожная, д.2/6
"Общество с ограниченной ответственностью ""СТАЙНЕР СПб""";;89112162629@mail.ru;89112162629;Санкт-Петербург, наб.реки Смоленки, д. 5-7, литер Р
"ООО ""Юкон""";;;593-91-80;188650, Ленинградская область, г. Сертолово, ул. Молодцова, дом 7/2
"ООО ""БалтПроМер""";http://www.baltpromer.ru/bpm.php;baltpromer@yandex.ru;8-800-555-21-69   +7 (812) 942-84-83;Санкт-Петербург, г.Ломоносов, ул. Рубакина, д.20, оф. 124
МУП «АиЗ»;;tatur_geoplan@mail.ru;89607333713;602267, Владимирская область, г. Муром, пл. 1100-летия города, 1
"ООО ""ИМПУЛЬС""";;impuls@impuls-vbg.ru;(81378) 20-411;188800, Ленинградская область, Выборгский район, г.Выборг, ул. Физкультурная, д.17, оф. 501, 502, 504
"ООО ""ЛКМ""";;kulikova.n@gkmorion.ru;(812) 611-11-02;198097, г.Санкт-Петербург, ул.Возрождения, д.4, корп.2
"ООО ""ГеоКорп""";;geocorp5@yandex.ru;89118104332;ул. Сердобольская, д. 64
"Закрытое акционерное общество ""Бюро комплексного проектирования""";;bkp.info@mail.ru;(812)385-53-39;198097, Россия, г. Санкт-Петербург, пр-т Стачек д. 47 корп.2 лит. А
"Общество с ограниченной ответственностью ""Водоканал - Центр измерений""";;info@vkci.spb.ru;+7 (812) 540-19-80;195009, г. Санкт-Петербург, ул. Михайлова, д. 11, литер С
"ООО ""ГЕО-ПРОЕКТ""";http://geoproect.spb.ru/;geo-proekt.spb.office@mail.ru;(812) 300-55-00;197341, г. Санкт-Петербург, пр. Коломяжский, д.27, литер А, 10 этаж
"АО ""Газпром газораспределение Ленинградская область""";;danilov_av@gazprom-lenobl.ru;405-40-02 доб. 5259;РФ, г. Санкт-Петербург, ул. Пинегина, д.4, 192148
"ООО ""НордСтрой""";;ns@spbnord.ru;441-32-66/441-32-67;196247, г. Санкт-Петербург, Ленинский пр., дом 153, оф. 201
"ООО ""Инвентаризация и Кадастр""";;timira007@mail.ru;9211879123;г.Санкт-Петербург, улица Бабушкина, дом 3, офис 216
"ООО ""ГЕОСТЭП""";;geostep_spb@mail.ru;8 (812)339-85-16;г.Санкт-Петербург,  ул. Кораблестроителей д. 16 корп.2
"ООО ""Геостром""";;geostrom@mail.ru;(812) 646-73-56 / (812) 646-73-57;192007, г. С-Петербург, ул. Расстанная, д. 3, лит. Б
"ООО ""ГЕО плюс""";;;+7(812) 715-55-81;Санкт-Петербург, улица Новоселов, 8
"ООО ""ЭкоСтандарт Изыскания""";;info@ecostandard.ru;8 (812) 49 4-07-30;191186, Санкт-Петербург, Невский проспект, д.1, оф. 300 б
"ООО ""СУ-299""";;su299@yandex.ru; 7 (812) 337-51-55;Санкт-Петербург, В.О., Уральская ул., д. 18
"ООО ""СБМ-2""";;;(812) 334-93-82;192148, г.Санкт-Петербург, пр.Елизарова, д.№ 34, оф.202
ООО ВЕЛЕС;;veles.ev@gmail.com;79217558062;188480, г.Кингисепп Ленинградской обл., ул.Жукова, д.20, оф.10
"OOO ""ВысокиеЭнергоСтроительныеТехнологии""";;info@vest-company.com;(921) 958-23-60;195220, г.Санкт-Петербург, пр. Непокоренных, д.49, оф.514
"ООО ""ТРИЭФ""";;trifff@rambler.ru;8-81363-77-105;187 403, Ленинградская область, Волховский район, г. Волхов, Волховский пр. 75
"ООО ""Изыскатель""";;geosciens@mail.ru;"
";198095, Санкт-Петербург, Митрофаньевское шоссе, д. 10
"ООО ""КАДГЕО""";;bagh@cadgeo.ru;"
";
"ООО ""География""";;geography@list.ru;88129394649;г. СПб, ул. Громова 4, оф.240
"ООО ""Северо-Западное бюро изысканий""";;kkd@szbi-spb.ru;"
";195112, Санкт-Петербург, проспект Малоохтинский, дом 68, литер А.
"ООО ""ГТО""";;info@progto.ru;309-67-37;Санкт-Петербург, пр.Луначарского 72к 1 оф.19
ООО «Геостроймастер»;;info@gsmspb.net;(812) 331 77 56;195197, г. Санкт-Петербург, Кондратьевский проспект, дом 40, корпус 14, литер А, офис 13
"ЗАО ""Санкт-Петербургская экологическая компания""";http://www.spek.su;s.shamota@spek.su;406-82-17 / 406-82-18;192007, Санкт-Петербург, ул. Расстанная, дом 2, корпус 2, лит. Б. ОКПО: 59479280
ООО «ЦОП «Компас»;;compas_nn@mail.ru;8 (831) 220-16-64;603105, г. Нижний Новгород, Кузнечихинская, д.37, пом. 1
ООО «Энергопром»;;agalich@energopromm.ru;79214121105;192019, Санкт-Петербург, ул. Мельничная, д. 18, лит. А
ООО «СК «Дальпитерстрой»;http://dalpiterstroy.ru;admin@dalpiterstroy.ru;78123053619;191119, г. СПб, Лиговский пр, д. 94,корп.2, Лит А, пом 25Н
"ООО ""ТОПОПЛАН""";;topoplan@bk.ru;(8442) 96-11-61;400074, Волгоград Город, Циолковского Улица, 33
"ООО ""Аксис""";;ae600@yandex.ru;9458656;Ириновский пр. 21, к. 1, Лит. Б. оф. 12.
"ОАО ""Трансмост""";;transmost@transmost.spb.ru;(812) 332-62-33;190013, С-Петербург, Подъездной пер, д. 1
