Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
"ООО ""Департамент права"" ";;;;;;Москва
"ООО ""Софина"" ";http://sofina31.ru;arbitruprav1@yandex.ru;84722770272;г. Белгород, Белгородский проспект, 36;Гюнтер Юрий Семёнович;Белгород  
Юридический Центр Документов Гражданский 111 ;;;;;;Санкт-Петербург
Матвеев и партнеры ;https://lawpractik.ru;matveev@matveevgroup.ru;8 452 991 965;г. Саратов, ул. Дзержинского, д. 7/11, офис 77;Матвеев Александр Викторович;Саратов  
Femida63 ;http://femida63.ru/;femida63@yandex.ru;79297131308;"г. Самара, ул.Аэродромная, 47а ТРК ""Аврора"", оф. 608";Исчалов Вячеслав Алексеевич;Самара  
"ООО ""Юридическое бюро Чекалова"" ";;chekalovdv@mail.ru;74 852 370 113;а/я 29, г. Ярославль, 150054;Чекалов Дмитрий Владимирович;Ярославль  
"КАП ""Дыкан и партнёры"" ";www.arbitr-dykan.ru;info@arbitr-dykan.ru;79066378999;Московский пр-т, д. 93, офис 2.1.3;Дыкан А.О.;Ярославль  
ГОРОДСКАЯ ЮРИДИЧЕСКАЯ СЛУЖБА ;409803.ru;409803@mail.ru;88482409803;Юбилейная, 2Б;Досаева Наталия Николаевна;Тольятти  
Группа компаний DAT СПб ;dat.spb.ru;info@datspb.ru;88129533181;Санкт-Петербург, ул. Белоостровская, д. 8, 4 эт., оф. 1409;Юшкова Татьяна Александровна;Санкт-Петербург
Тон-Строй Консалт ;tonstroyconsult.ru;89276120933@mail.ru;8482695222, 89276120933;г. Тольятти, Хрящевское шоссе,29;Тян Денис Юрьевич;Тольятти  
АО ФИНАНСОВО-ПРАВОВАЯ ГРУППА «АРКОМ» ;https://nlk.group-arcom.ru/;info.nal@group-arcom.ru;88 005 006 212;Нальчик: ул. Тарчокова, 131В, 360001;;Нальчик  
ЮрЗащита ;;;;;;Москва
Юридический Бутик «Дела Житейские» ;https://делажитейские.рф;gendir@domprava.com;74 722 407 078;г. Белгород, ул. 5 Августа, д. 17к1, эт. 1, оф. 2;Палымов Алексей Викторович;Белгород  
SALVAR - управление банкротством ;http://salvar-bankrot.ru/;info@salvar-bankrot.ru;74 951 518 385;Москва, ул. Пречистенка, 40/2, стр.1, 1 подъезд, 7 этаж;Блохин М.А.;Москва
Паритет Групп ;;;89102092050;Орел, ул. Комсомольская, д.66, офис 243;Нагорнов Виталий Михайлович;Орёл  
АмурБизнесСервис ;;;550042,8925;"г.Благовещенск,пер.Волошина,4,оф.307;";;
"Юридическая фирма ""Элефант"" ";kurganlaw.ru;kurgan-law@yandex.ru;555813;Курган, 6А мкр. д. 11 офис 17;Мальцев В.А.;Курган  
"ООО ""Lion Lawyers"" ";https://topinfo.pro;tula.manager@topinfo.pro;89207986195;Первомайская 35, офис 03;Эшбаев Оскар Наильевич;Тула  
Бойко Андрей Евгеньевич ;www.pravo-company.ru;baks20.@yandex.ru;89887708508;Советов 42;;Новороссийск  
Реальный Выход юридическая компания ;;;;;;Москва
Автоюрист+Оценка Югра ;Автопространство.рф;978128@mail.ru;8 3462 978128, 370308;Сургут;;Сургут  
"ООО ""Перспектива"" ";;;;;;Екатеринбург  
"ООО ""Группа Компаний ""Альянс"""" ";;v-683273@yandex.ru;89617793191;"г.Тюмень, ул. Рижская, д.45 ""а"", оф. 307";Вдовин Сергей Станиславович;Тюмень  
"ООО ""Банкрот-Сервис"" ";;;;;;Калуга  
"АБ г. Москвы ""Щеглов и партнеры"" г.Москва";advokats.ru;info@advokats.ru;84 957 480 032;"ул. 8 Марта, д. 1, стр. 12. Бизнес-центр ""ТРИО"", корп.1, офис 4., Москва, 127083";Щеглов Юрий Анатольевич;
ООО Юридическая фириа ЭЙЛИР ;;elir385215@yandex.ru;89275210881;г. Волгоград, ул. Ленина 9, офис 44;;Волгоград 
"Коллегия адвокатов ""Екатеринодар"" ";;;;;;Краснодар  
Правотека ;;;;;;Сочи  
Тер-Акопов и партнёры ;http://www.terakopov.org/;info@terakopov.org;74 959 979 023;Москва, ул. Донская, 5 (м. Октябрьская);Тер-Акопов Георгий Рубенович;Москва
БизнесПомощник ;https://businesshelper.ru/;;79 255 894 420;Глинищевский переулок, дом 3;;Москва
"ООО ""Судебная Экспертиза"" ";;sud_expertiza@mail.ru;"89624412802 ;  88622713559";г. Ставрополь, ул. Краснофлотская, д.66 оф.302;Карташова Анна Александровна;Ставрополь  
Роман Глебов ;;;;;;Ставрополь  
ОК Банкрот Белгород ;http://belgorod.okbankrot.ru/;;84 722 224 050;Белгород, ул. Гостенская, д. 12;Мирошникова Лилия Максимовна;Белгород  
Юридическое агентство БОЯРШИНОВА ;www.pravo-perm.ru;pravo-perm@mail.ru;9127877030, 9024719466;614094 Пермский край, г. Пермь, ул. Челюскинцев, 13;БОЯРШИНОВ ВИТАЛИЙ ВАЛЕРЬЕВИЧ;Пермь  
"ООО ""Глория"" ";-   651961259   www.gloria174.ru;-;89085818407;пл.Революции, д.7 А, оф.507;Лилия;Челябинск  
Юрист07 ;http://yurist07.ru/;info@yurist07.ru;89289149319;Пушкина д. 60;;Нальчик  
1БПО ;http://1bpo.ru/;;;;;Красноярск  
"ООО ""Судебный центр"" ";;;;;;Санкт-Петербург
"ООО ""ДЕЛО"" ";;"delo-2011@list.ru; ovddelo@mail.ru";"83912004947; 83912971301";660021, г. Красноярск, ул. Бограда, д. 109, оф. 3-2, а/я 12686;Директор Тимошина Светлана Аркадьевна;Красноярск  
Адвокатское бюро ЛЕГИСТ ;юристмоскве.рф;;+7 495 730 55 00;г. Москва,  ул. Вавилова, д. 81, корп. 1;;Москва
"ООО ""Единый Центр Регистрации"" ";;;;;;Самара  
Банкрот-Эксперт ;http://bankrotexpert.com;bankrot-expert@yandex.ru;79009053024;Рязань, ул.Сенная, д. 8, офис 13;Даньшов Андрей Вячеславович ;Рязань  
"""Цитадель"" ";yourside.ru;yourside@pisem.net;88312915554;г. Нижний Новгород, проспект Ленина 11, офис 201/4;Барсегян Агаси Леванович;Нижний Новгород  
"ООО ""Шериев и Партнеры"" ";;;;;;Москва
"ООО ЮФ ""Недвижимость и Право"" ";;pravo59@mail.ru;2128330, 2129959;г. Пермь, ул. Пермская, д. 70, оф. 202;Цветов Дмитрий Юрьевич;Пермь  
ЮрЗащитаЦентр ;;;;;;Серпухов  
Потенциал ;;;;;;Екатеринбург  
"Правовой Центр ""ЮР-КОРТ"" ";702287786   http://yurkort.ru/;yurkort@mail.ru;"8412520405; 89631111116";"г. Пенза, ул. Каляева, 7 ""Б"" офис 201";Паршина Ирина Александровна;Пенза  
ЮрЗаконПРО ;;;;;;Старый Оскол  
"ООО ""Юридический центр ""Доверие"" ";;centr-doverie@mail.ru;88432722141;Николая Ершова, д. 35 а, 2 этаж;Галлямова Светлана Табрисовна;Йошкар-Ола  
"ООО ""АЧЭК"" ";f.aquamodule   http:// expert-achek.ru;expertnovo@gmail.com;79 628 630 101;Мысхакское шоссе, д. 75, оф. 209;Ткаченко Павел Григорьевич;Новороссийск  
Бизнес Партнер ;;;;;;Калининград  
