Название;Сайт;Почта;Номер телефона;Адрес;ОГРН;ИНН
Банкрот Консалт;https://bankrotconsult.ru;;78002006551;Москва Комсомольский проспект д. 16/2, с. 3;1,0277E+12;
2Лекс;https://2lex.ru;;78005515971;Москва Несвижский пер. д. 10;1,0277E+12;
Международное юридическое бюро;https://ilo-co.com/;ilorussia@yandex.ru;88007707473;;3,18169E+14;1,65048E+11
Федеральный Центр Банкротства Граждан;https://fcbg.ru/;THE4UH@GMAIL.COM;78006008471;с 10:00 до 20:00;1,2177E+12;9704087237
Банкрот Консалт;https://bankrotconsult.ru;;78002006551;Москва Комсомольский проспект д. 16/2, с. 3;1,0277E+12;
2Лекс;https://2lex.ru;;78005515971;Москва Несвижский пер. д. 10;1,0277E+12;
Витакон;https://msk.vitakon.ru/;;78003333074;Москва Тургеневская площадь д. 2;1,17775E+12;
СитиАрбитр;https://cityarbitr.ru/;;74992818525;Москва Большой Гнездниковский переулок д. 7;1,19775E+12;
Современная Защита;https://sovz.ru/;;78003006227;Москва ул. Лубянский проезд д. 15/2, 4 подъезд, 3 этаж, оф. 308а;1,16775E+12;
Федеральный Центр Банкротства Граждан;https://fcbg.ru/;THE4UH@GMAIL.COM;78006008471;с 10:00 до 20:00;1,2177E+12;9704087237
Юридическое агентство «Арбитраж»;https://arbitrrf.ru/;;79288212084;Ставрополь ул. Мира д. 267;;
Финправ;https://finprav.com/;;73833122051;Новосибирск ул. Октябрьская д. 45;1,14548E+12;
Национальный Центр Банкротства;https://bankrotstvo-476.ru/;;74951490960;Москва ул. Дружинниковская д. 11/2;1,14775E+12;
Саратовский Департамент Судебных Экспертиз;https://sardep.ru/;;78452908811;Саратов ул. Железнодорожная д. 5/9;;
ЮК Основа;https://yrcreditrostov.ru/;;79381096016;Ростов-на-Дону ул. Серафимовича д. 52 А, офис 308;1,1862E+12;
Правовая группа «БанкротовЪ»;https://bankrotov.com/;;73422938330;Пермь ул. Ленина д. 92, Славяновский Plaza;;
ЮрФинанс;https://urfinance.info/;;73912193502;Красноярск ул. 78 Добровольческой Бригады д. 25, оф. 337;;
Юридическая практика Александра Воробьёва;https://xn--80accbo6cap4i.xn--p1ai/;;79539764439;Саратов ул. Чернышевского д. 60/62, БЦ «Фрегат», оф. 820;;
Адвокат Волков П.П.;https://advokatvolkov26.ru/;;79888686071;Ставрополь ул. Доваторцев д. 38, 3 этаж (Бизнес Центр «Лига»), оф. 7;;
Банкротпроект;https://www.банкротпроект.рф/;info@bankrotproekt.ru;74999388448;г. Москва, ул. Знаменка, д. 13, стр. 1, оф. 15;1,2077E+12;
Финансово-правовое бюро;https://fpburo.ru/;Spbfinbr@yandex.ru;73842780202;"г. Новокузнецк, пр. Кузнецкстроевский, д. 9; г. Владивосток, Океанский пр., д. 15а, оф. 305";1,2042E+12;4205387853
Группа компаний Логос;https://logos63.ru/;dolbenko@list.ru;78462010908;г. Самара, ул. Дачная, д. 2к2, оф. 506;1,2063E+12;6311189110
Банкротное агентство «Доверие»;https://xn--159-5cdeh9cxakbtnmb.xn--p1ai/;;73422150155;Пермь ул. Куйбышева д. 50 оф. 1105;;
Темис Групп;https://www.themisgroup.ru/;ThemisGroup@yandex.ru;88462030317;г. Самара, ул. Пушкина, д. 229, оф. 303;1,2163E+12;6317154339
Proff Банкрот;https://proffbankrot.ru/;;74952233815;Москва Семеновская пл. д. 1А, 18 этаж, оф. 3;1,17775E+12;
"Центр помощи кредитным должникам ""Гарант""";https://cns.zone/;garant@gmail.com;84162319912;г. Благовещенск, ул. 50 лет октября, д. 63, оф. 415;1,2028E+12;2801260950
Кредитный комиссар;https://www.kreditnykomissar.ru/;mail@kreditkomissar.ru;88007006291;г. Благовещенск, ул. Островского, д. 75;1,1528E+12;
