Название;Номер телефона;Адрес;Категория
Московский проектный институт ФГУП ГИПРОНИИ РАН;+7(495)215-07-81;+7(495)215-07-81;Институты
Омский проектный институт «Костромапроект»;+7 (3812) 69-18-54+7 (3812) 69-18-38;г. Омск, ул. Красный Путь, 153/2;Институты
Московский проектный институт АО “ЦНИИЭП жилища”;;ingil@ingil.ru (по вопросам сотрудничества и перепланировок)question@ingil.ru (для обращений частных лиц);Институты
Московский проектный институт ОАО «Теплопроект»;;г. Москва, ул. Коминтерна, дом 7, корпус 2Телефон+7 (495) 471-13-36 , (495) 981-46-24,(495) 471-13-72 (факс);Институты
Самарский проектный институт ЗАО «ГазНИИпроект»; +7 (846) 332-76-97;;Институты
Московский проектный институт ГСПИ РТВ;+7 495 988-80-50;г. Москва, Шарикоподшипниковская ул., 4, корп. 1А,;Институты
Московский проектный институт ОАО «ЦНИИЭПгражданстрой»;+7 (495) 330-78-11;Москва, 117279, ул. Профсоюзная, 93 А;Институты
Московский проектный институт АО «31 ГПИСС»; (499) 241-26-65;г. Москва, Смоленский бульвар, д.19, стр.1. ;Институты
Краснодарский проектный институт ООО “РОССНЕФТЕГАЗПРОЕКТ”;;г.Краснодар, ул. Бабушкина, 166;Институты
Московский проектный институт АО «Гиредмет»;Тел. +7(495) 708-44-66;Тел. +7(495) 708-44-66;Институты
Московский проектный институт АО «ПНИИИС»;8 (495) 221-60-28;Москва, Окружной проезд, д. 18;Институты
Московский проектный институт  ОАО «Гипропищепром-2»;8 (499) 165-60-60;;Институты
Московский проектный институт ЗАО «НИПИнефтегаз»;+7 (499) 649-02-08+7 (499) 677-18-87;;Институты
Московский проектный институт ФГБУ «ЦНИИП Минстроя России»;+7 (499) 951-95-21,+7 (499) 133-13-61;;Институты
Московский проектный институт ОАО «Институт «Энергосетьпроект»;+7 (495) 652-9301+7 (495) 963-1264;г. Москва, Ткацкая ул., д.1;Институты
Московский проектный институт  ЗАО «ПРОМТРАНСНИИПРОЕКТ»;8 (499) 138-26-20;;Институты
Московский проектный институт НИИПС; +7 (495) 602-30-84;;Институты
Московский проектный институт ООО «Мориссот»; +7 (495) 662-33-36;;Институты
Московский проектный институт  ЗАО «Стройиндустрия»;+7 (968) 504-37-43, +7 (916) 334-97-00;;Институты
Московский проектный институт ГАУ МО «НИиПИ ГРАДОСТРОИТЕЛЬСТВА»;+7 (495) 681-20-56;;Институты
Санкт-Петербургский проектный институт ОАО «ЛЕННИИПРОЕКТ»;+7 (812) 233-28-56;;Институты
Московский проектный институт ОАО ВНИПИ ТЯЖПРОМЭЛЕКТРОПРОЕКТ;+7 495 730-57-58,+7 495 981-12-60;г. Москва, Бакунинская ул., 73, стр. 2;Институты
Московский проектный институт ЗАО НПЦ «Гипроздрав»; (499) 128-86-77, (499) 120-63-27;г. Москва,Научный проезд, дом 12, офис 63;Институты
Московский проектный институт АО «Росгазификация»;+7 (495) 120-30-02;119071, г.Москва, улица Калужкая М., дом 15 строение 1, офис 07-09;Институты
Московский проектный институт НИИСФ РААСН;+7 495 482-40-76,;+7 495 482-39-72;Институты
"Новороссийский проектный институт ООО ""НовоморНИИпроект""";(8617) 63-24-99;Краснодарский край, г.Новороссийск, ул.Суворовская, 18-А;Институты
Уральский проектный институт «УралНИИпроект РААСН»;"+7 (343) 214-80-99; +7 (343) 350-65-49";;Институты
Кострамской проектный институт «Костромапроект»;(4942) 37-24-71;г. Кос­тро­ма, ул. Ива­на Су­сани­на, 50;Институты
Московский проектный институт  АО «Росжелдорпроект»;+7 (495) 660-15-20ФАКС+7 (499) 262-71-08;;Институты
Московский проектный институт ОАО «НИИК»;(495) 917-01-98;г. Москва, ул. Земляной Вал, 34а, стр.1;Институты
Московский проектный институт АО «СоюзпромНИИпроект»;+7 (499) 782-34-45;;Институты
Московский проектный институт ОАО «47 ЦПИИ»;(495) 947-58-15;Москва, Б-р Генерала Карбышева, д. 8;Институты
"Уральский проектный институт ОАО ИНСТИТУТ ""УРАЛНИИАС""";;;Институты
Московский проектный институт им. Мезенцева;;г. Москва,ул. Орджоникидзе, 11, стр. 43;Институты
Московский проектный институт ОАО «Институт Гипростроймост»;8 (495) 686-22-61;;Институты
Московский проектный институт ГАУ «МосжилНИИпроект»;;г.Москва, пер. Обуха, д.3Телефон8(495) 624-40-65;Институты
Московский проектный институт АО «НИЦ «Строительство»;;г. Москва, 2-я Институтская ул., д. 6, корп. 5Телефон +7(499)174-77-24;Институты
"Питерский проектный институт ООО ""Дорпроект Технадзор""";+7 812 449-27-12;;Институты
Сибирский проектный институт ОАО «СИБПРОЕКТНИИАВИАПРОМ»;+7 383 279-06-50,+7 383 279-25-07;;Институты
Московский проектный институт ООО «Проекткоммундортранс» («Гипрокоммундортранс»);+7(495) 452-56-54;г.Москва,Михалковская ул., 63Б, стр. 4;Институты
"Московский проектный институт ""ИПРОМАШПРОМ""";Серова Наталия Анатольевна, тел. 8 (495) 681-24-67;Суворовская площадь, дом 1/52, корпус 2, г. Москва;Институты
"Московский проектный институт ""Аркона""";+7 (495)1502117info@proarkona.ru;+7 (495)1502117info@proarkona.ru;Институты
Московский проектный институт ГБУ «МОСТРАНСПРОЕКТ»;+7 (495) 221-02-61;г. Москва, Потаповский пер., д. 3, стр. 1.;Институты
Московский проектный институт АО «НИИАС»;+7 (499) 262-53-79;;Институты
Санкт-Петербургский проектный институт ОАО «Гипроцемент»; +7 (812) 328-78-92;"оценка перспектив организации производства цемента на базе новых месторождений;технологический и технико-экономический консалтинг;разработка обоснований инвестиций";Институты
Московский проектный институт АО «Институт «Мосгражданпроект»; +7 495 333 54 03;Москваул. Обручева, д. 46;Институты
Московский проектный институт ОАО «ВНИПИнефть»; +7 (495) 795-31-31;;Институты
Московский проектный институт  ООО «ТРАНССТРОЙПРОЕКТ»;+7(495) 543-42-56;;Институты
Московский проектный институт ОАО «ПКТИпромстрой»;+7 (495) 969-53-46+7 (495) 969-63-97+7 (495) 743-12-60 (круглосуточно)8 (800) 500-42-35 (Бесплатно для регионов);;Институты
"Кострамской проектный институт ООО ИСПО ""КОСТРОМАГОРСТРОЙ"""; (4942) 32-58-43;г.Кострома, ул. Гагарина, д.21;Институты
Московский проектный институт ФГУП «ВНИПИИстромсырье»; 8 (495) 012 60 21;г. Москва, Волоколамское шоссе, д. 1, стр. 1;Институты
