Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
Ульяновский пружинно-навивочный завод;;pruzhina73.ru ;Механические заводы;;promo002@yandex.rupruzhina73_06@mail.ru;Ульяновск, 14-й проезд Инженерный, 11;+7 929 798-80-89 ;
Бзсм, ООО;280101001;bzsm-dv.com/ ;Заводы строительных материалов;2801151781;bzsm100@yandex.ru;Амурская область, с. Белогорье, ул. Заводская, 10; (8-416-2)338-238 ;1102800000000
Гатчинский ККЗ, АО;470501001;www.gatchinsky-kkz.ru ;Комбикормовые заводы;4719000303;kkz@gtn.ru;д. Малые Колпаны, ул. Западная, 31;+7 (81371)94214 ;1024700000000
Сигнал, ПАО;263501001;www.signalrp.ru ;Светотехнические заводы;2635000092;info@signalrp.ru;Ставропольский край, Ставрополь, 2-й Юго-Западный проезд, 9А;+7 (8652)77-98-35 ;1022600000000
"ТД ""Ролл-Лайн"", ООО";603701001;roll-line.ru ;Станкостроительные заводы;6037006521;roll@roll-line.ru;Псковская обл., д. Дубоновичи, д. 15А;+7 (921)396-07-17 ;1146030000000
Манн-Сервис, ООО;391701001;www.manngroup.ru ;Мебельные фабрики;3907026574;info@torg.manngrupp.ru;Калининградская область, Калининград, ул. Дзержинского, 246;+7 (4012)31-14-72 ;1023900000000
Юниматика, ООО;263401001;unimatica.ru ;Электромеханические заводы;2635824981;info@unimatica.ru;Ставрополь, ул. пр. Кулакова, 18Д;7800573;1132650000000
НМЗ, АО;532101001;www.rmk-group.ru/ru/activities/enterprises/novgorod/ ;Заводы черных металлов;5321086672;;Великий Новгород, Вяжищский проезд, д. 44;+7 (8162)940-750 ;1025300000000
"Компания ""Востсибуголь"", ООО";380801001;www.kvsu.ru/ ;Угольные компании;3808069986;office@kvsu.ru;Иркутская область, Иркутск, ул. Сухэ-Батора, 4; (3952)791-112 ;1023800000000
Фор Марин, ООО;694901001;slider-boat.ru ;Судоремонтные заводы;6949114901;info@slider-boat.ru;г. Конаково, ул. Восточно-Промышленный район, д. 3, оф. 2;79256494303;1216900000000
УМК, ООО;745501001;uralmetalcompany.ru ;Заводы металлоконструкций;7444048751;mail@uralmetalcompany.ru;Челябинская область, Магнитогорск, Коммунальная 10, стр 1;+7 (3517)51-70-15 ;1067440000000
ТДЛ Текстиль, ООО;370201001;www.tdl-textile.ru ;Текстильные фабрики;3730010504;sales@atdl.ru;Ивановская область, Иваново, ул. П. Большевикова, 27;+7 (4932)59-11-11 ;1023700000000
МД-Старс, ООО;773101001;magdistar.ru ;Инструментальные заводы;7731387645;mos-stars@yandex.ru;Московская область, Москва, ул. Дорогобужская, д. 14, стр. 12;+7 (499)684-00-59 ;5177750000000
Ефремова Анастасия Александровна, ИП;;aquatic.net.ru ;Механические заводы;4,63E+11;info@aquatic.net.ru;Курская обл., г. Курск;74711320;316463000000000
Нобетек, ООО;772901001;msc-plitka.ru ;Цементные заводы;7704446884;MAIL@MSC-PLITKA.RU;Московская обл., г. Москва, Смоленский бульвар, д. 17, стр. 5;+7 (499)955-46-81 ;5177750000000
